window,float,double
4,254962292.861622,217124260.387919
8,255133568.035805,221220212.643063
16,255604153.005157,218762555.603426
32,255117757.892482,220650129.277808
64,254765477.423117,208569938.547788
128,249797688.851799,209590597.463987
